Course number	Course name	Units	Department	Description	Instructors	Days	Start time	End time	Location
02-201	Programming for Scientists	10.0	Computational Biology	Provides a practical introduction to programming for students with little or no prior programming experience who are interested in science. Fundamental scientific algorithms will be introduced, and extensive programming assignments will be based on analytical tasks that might be faced by scientists, such as parsing,  simulation, and optimization.  Principles of good software engineering will also be stressed. The course will introduce students to the Go programming language, an industry-supported, modern programming language, the syntax of which will be covered in depth. Other assignments will be given in other programming languages such as Python and Java to highlight the commonalities and differences between languages. No prior programming experience is assumed, and no biology background is needed. Analytical skills and mathematical maturity are required. Course not open to CS majors.	Phillip Compeau	1<>3<>5	1030	1120	GHC 4101
02-261	Quantitative Cell and Molecular Biology Laboratory	9.0	Computational Biology	This is an introductory laboratory-based course designed to teach basic biological laboratory skills used in exploring the quantitative nature of biological systems and the reasoning required for performing research in computational biology. Over the course of the semester, students will perform many experiments and quantitatively analyze the results of these experiments. Students will also have the opportunity to design experiments based on the data they collect. During this course students will be using traditional, well-developed techniques to answer open questions. What microbes are found in the food we eat? What changes do cells undergo during apoptosis? Understanding the results of these experiments will require students to think critically about the results they generate, the appropriate controls required to confirm results, and the biological context within which these results were obtained. During this course students will gain experience in many aspects of scientific research, including: Sequencing and analyzing a large and diverse population of DNA, Designing and performing PCR for a variety of analyses, Maintaining cell cultures, Taking brightfield and fluorescent microscopy images, Developing methods for automated analysis of cell images, Communicating results to peers and colleagues.  As space is limited, laboratory sections will be small. Additional sections will be added to accommodate all students on the waitlist.  Course Outline: (1) 3-hour lab per week (1) 2-hour lecture per week. 9 units.	Joshua Kangas	1	1130	2420	WEH 5320
02-402	TBA	3.0	Computational Biology	This course consists of weekly invited presentations on current computational biology research topics by leading scientists.	Jian Ma	5	1100	1150	NA
02-450	Robotics and Machine Learning	9.0	Computational Biology	Biology is increasingly becoming a big data science, as biomedical research has been revolutionized by automated methods for generating large amounts of data on diverse biological processes. Integration of data from many types of experiments is required to construct detailed, predictive models of cell, tissue or organism behaviors, and the complexity of the systems suggests that these models need to be constructed automatically. This requires iterative cycles of acquisition, analysis, modeling, and experimental design, since it is not feasible to do all possible biological experiments. This course will cover a range of automated biological research methods and a range of computational methods for automating the acquisition and interpretation of the data (especially active learning, proactive learning, compressed sensing and model structure learning). Grading will be based on class participation, homeworks, and a final project. The course is designed for graduate and upper-level undergraduate students with a wide variety of backgrounds. The course is intended to be self-contained but students may need to do some additional work to gain fluency in core concepts. Students should have a basic knowledge of biology, statistics, and programming. Experience with Machine Learning is useful but not mandatory.	Christopher Langmead	2<>4	1630	1750	HH B131
02-500	Undergraduate Research in Computational Biology	None	Computational Biology	This course is for undergraduate students who wish to do supervised research for academic credit with a Computational Biology faculty member.  Interested students should first contact the Professor with whom they would like to work.  If there is mutual interest, the Professor will direct you to the Academic Programs Coordinator who will enroll you in the course.	Phillip Compeau	NA	NA	NA	NA
02-510	Computational Genomics	12.0	Computational Biology	Dramatic advances in experimental technology and computational analysis are fundamentally transforming the basic nature and goal of biological research. The emergence of new frontiers in biology, such as evolutionary genomics and systems biology is demanding new methodologies that can confront quantitative issues of substantial computational and mathematical sophistication. In this course we will discuss classical approaches and latest methodological advances in the context of the following biological problems: 1) sequence analysis, focusing on gene finding and motifs detection, 2) analysis of high throughput molecular data, such as gene expression data, including normalization, clustering, pattern recognition and classification, 3) molecular and regulatory evolution, focusing on phylogenetic inference and regulatory network evolution, 4) population genetics, focusing on how genomes within a population evolve through recombination, mutation, and selection to create various structures in modern genomes and 5) systems biology, concerning how to combine diverse data types to make mechanistic inferences about biological processes. From the computational side this course focuses on modern machine learning methodologies for computational problems in molecular biology and genetics, including probabilistic modeling, inference and learning algorithms, data integration, time series analysis, active learning, etc.	Valentin Ilyin	1<>3	0900	1020	CMB 2035
02-512	Computational Methods for Biological Modeling and Simulation	9.0	Computational Biology	This course covers a variety of computational methods important for modeling and simulation of biological systems. It is intended for graduates and advanced undergraduates with either biological or computational backgrounds who are interested in developing computer models and simulations of biological systems. The course will emphasize practical algorithms and algorithm design methods drawn from various disciplines of computer science and applied mathematics that are useful in biological applications. The general topics covered will be models for optimization problems, simulation and sampling, and parameter tuning. Course work will include problems sets with significant programming components and independent or group final projects.	Russell Schwartz	2<>4	1500	1620	PH A18A
02-530	Cell and Systems Modeling	12.0	Computational Biology	This course will introduce students to the theory and practice of modeling biological systems from the molecular to the organism level with an emphasis on intracellular processes. Topics covered include kinetic and equilibrium descriptions of biological processes, systematic approaches to model building and parameter estimation, analysis of biochemical circuits modeled as differential equations, modeling the effects of noise using stochastic methods, modeling spatial effects, and modeling at higher levels of abstraction or scale using logical or agent-based approaches. A range of biological models and applications will be considered including gene regulatory networks, cell signaling, and cell cycle regulation. Weekly lab sessions will provide students hands-on experience with methods and models presented in class. Course requirements include regular class participation, bi-weekly homework assignments, a take-home exam, and a final project.    Prerequisites: The course is designed for graduate and upper-level undergraduate students with a wide variety of backgrounds.  The course is intended to be self-contained but students may need to do some additional work to gain fluency in core concepts.  Students should have a basic knowledge of calculus, differential equations, and chemistry as well as some previous exposure to molecular biology and biochemistry.  Experience with programming and numerical computation is useful but not mandatory.  Laboratory exercises will use Matlab as the primary modeling and computational tool augmented by additional software as needed.	Andreas Pfenning	2<>4	1330	1450	PSC 103
02-601	Programming for Scientists	12.0	Computational Biology	Provides a practical introduction to programming for students with little or no prior programming experience who are interested in science. Fundamental scientific algorithms will be introduced, and extensive programming assignments will be based on analytical tasks that might be faced by scientists, such as parsing,  simulation, and optimization. Principles of good software engineering will also be stressed, *and students will have the opportunity to design their own programming project on a scientific topic of their course*. The course will introduce students to the Go programming language, an industry-supported, modern programming language, the syntax of which will be covered in depth. Other assignments will be given in other programming languages such as Python and Java to highlight the commonalities and differences between languages. No prior programming experience is assumed, and no biology background is needed. Analytical skills and mathematical maturity are required. Course not open to CS majors.	Phillip Compeau	1<>3<>5	1530	1620	WEH 5421
02-602	Professional Issues in Computational Biology	1.0	Computational Biology	This course gives masters students an opportunity to develop professional skills necessary for a successful career in computational biology. This course will include assistance with resume writing, interview preparation, presentation skills, and job search techniques. This course will also include opportunities to network with computational biology professionals and academic researchers. This course will meet once a week. This course is pass/fail only. Grading scheme will be discussed on first day of class.	Phillip Compeau<>Shoba Subramanian	1	1630	1720	WEH 4709
