Course number	Course name	Units	Department	Description	Instructors	Days	Start time	End time	Location
02500	Undergraduate Research in Computational Biology	None	Computational Biology	"This course is for undergraduate students who wish to do supervised research for academic credit with a Computational Biology faculty member.  Interested students should first contact the Professor with whom they would like to work.  If there is mutual interest, the Professor will direct you to the Academic Programs Coordinator who will enroll you in the course."	Instructor TBA	NA	NA	NA	NA
02801	Computational Biology Internship	3	Computational Biology	This course is for students participating in an internship or co-op.	Christopher Langmead	NA	NA	NA	NA
02900	Ph.D. Thesis Research	None	Computational Biology	Missing Course Description - please contact the teaching department.	Instructor TBA	NA	NA	NA	NA
03132	Basic Science to Modern Medicine	9	Biological Sciences	"This course will focus on the genetics, cell biology, and developmental biology behind human biology and human disease, as well as the growing opportunities for novel therapeutic options that basic science delivers.  This is a topics based course, with topics chosen to cover aspects of human biology and health that students are likely to encounter in their daily lives such as cancer, stem cells, genome sequencing, and the human microbiota. Students will explore these topics from both a basic science and a human health perspective."	Brooke Mccartney	1<>2<>3<>4<>5	1500	1620	WEH 5202
03210	Independent Study	None	Biological Sciences	"Students will read papers from the original literature under the direction of a faculty member. Students will be required to demonstrate mastery of the readings by discussions with the sponsoring faculty member, oral presentations, or writing of one or more papers summarizing and extending the information in the readings. If appropriate, students may write a program(s) to satisfy this last requirement. A student may take this course only once.  This is a mini format course.  Special permission required."	Becki Campanaro	NA	NA	NA	NA
03270	Summer Research Institute	3	Biological Sciences	"This course provides rising sophomores who participate in the Summer Research Institute (SRI) with training in data analysis and scientific communication to complement their research internships. Before initiating their SRI research projects, students will receive formal instruction in laboratory safety, record-keeping, use of the scientific literature, and use of essential databases and bioinformatic tools. As they proceed with their projects, they will be mentored to enhance their skills in data interpretation and oral and written communication through discussions, weekly oral presentations of research progress, preparation of two written research reports and a final presentation. SRI students participate in team projects linked to the research programs of MCS faculty. Projects generally involve multidisciplinary approaches involving molecular biology, chemistry, biochemistry, bioinformatics and structural, cellular, or developmental biology. All students receive training in a common set of essential laboratory methods in molecular biology and biochemistry before initiating their specific team projects."	Becki Campanaro<>Gordon Rule	5	1230	120	MI 355
03411	Topics in Research	None	Biological Sciences	During the year students attend and submit brief summaries of weekly seminars given by outside speakers or members of the Biology Department on current research topics in modern biology; some seminars outside of the department may be substituted.	Mohamed Bouaouina	NA	NA	NA	NA
03445	Undergraduate Research	None	Biological Sciences	Students may investigate research problems under the supervision of members of the faculty. Permission of a faculty advisor required.	Becki Campanaro	NA	NA	NA	NA
03601	Computational Biology Internship	None	Biological Sciences	"This course allows a student to gain computational biology experience in a real-world setting. Internships vary widely in scope, but common to all is the chance to practice computational biology skills acquired in the classroom. Typically, students seek and secure their own internships."	Shoba Subramanian<>Phillip Compeau	NA	NA	NA	NA
03601	Computational Biology Internship	None	Biological Sciences	"This course allows a student to gain computational biology experience in a real-world setting. Internships vary widely in scope, but common to all is the chance to practice computational biology skills acquired in the classroom. Typically, students seek and secure their own internships."	Shoba Subramanian	NA	NA	NA	NA
03700	MS Thesis Research	None	Biological Sciences	A student enrolled in this course conducts an independent investigation on a project in a faculty advisors lab. The project is selected from a major area of research study with the advice and approval of the faculty advisor. This course is required of students who are enrolled in the Master of Science program and wish to write and defend a thesis.	Shoba Subramanian	NA	NA	NA	NA
