03121	Modern Biology	9	Biological Sciences	None	Daniel Brasier	1<>2<>3<>4<>5	1530	1650	WEH 5302
03124	Modern Biology Laboratory	9	Biological Sciences	None	Carrie Doonan	1<>3	1200	1250	MI 355
03132	Basic Science to Modern Medicine	9	Biological Sciences	"This course will focus on the genetics, cell biology, and developmental biology behind human biology and human disease, as well as the growing opportunities for novel therapeutic options that basic science delivers.  This is a topics based course, with topics chosen to cover aspects of human biology and health that students are likely to encounter in their daily lives such as cancer, stem cells, genome sequencing, and the human microbiota. Students will explore these topics from both a basic science and a human health perspective."	Brooke Mccartney	1<>2<>3<>4<>5	1500	1620	BH 140F
03161	Molecules to Mind	9	Biological Sciences	"This course provides a depth-first approach to understanding neuroscience.  We will begin with a clinical focus on neuroanatomy, introducing students to some basic neurological diagnostic techniques. We will then explore the biological basis of neuronal function and link the function of individual neurons to a broader context of neural systems.  This will be done in the context of primary literature.  Students who complete this course will therefore have an understanding of research methods and be prepared to evaluate scientific literature.  The course will have a strong focus on the biological and cellular basis of neuronal excitability and also give students significant, in depth exposure to the function of synapses and their plasticity.  Finally, the course will give students an in depth look at sensory and/or motor systems by focusing on one system in particular, rather than providing a broad overview of many different sensory and motor systems."	Daniel Brasier	1<>2<>3<>4<>5	900	1020	WEH 5302
03210	Independent Study	None	Biological Sciences	"Students will read papers from the original literature under the direction of a faculty member. Students will be required to demonstrate mastery of the readings by discussions with the sponsoring faculty member, oral presentations, or writing of one or more papers summarizing and extending the information in the readings. If appropriate, students may write a program(s) to satisfy this last requirement. A student may take this course only once.  This is a mini format course.  Special permission required."	Mary Braun	NA	NA	NA	NA
03445	Undergraduate Research	None	Biological Sciences	Students may investigate research problems under the supervision of members of the faculty. Permission of a faculty advisor required.	Becki Campanaro	NA	NA	NA	NA
08997	Societal Computing Graduate Reading and Research	None	Institute for Software Research	Societal Computing PhD Students only sign up for Reading  Research.  Please make sure you sign up under your advisers section	James Herbsleb	NA	NA	NA	NA
09001	Chemistry Elective	None	Chemistry	None	Karen Stump	NA	NA	NA	NA
09050	Study Abroad	0	Chemistry	Missing Course Description - please contact the teaching department.	Instructor TBA	NA	NA	NA	NA
09101	Introduction to Experimental Chemistry	3	Chemistry	None	Carolyn Neiderlander	1	1330	1420	DH 2302
09105	Introduction to Modern Chemistry I	10	Chemistry	"This course begins with a very brief survey of some fundamental principles of chemistry and a presentation of chemically interesting applications and sophisticated problems. These will form the basis for introducing the relationships between the structure of molecules and their chemical properties and behavior. The subject matter will include principles of atomic structure, chemical bonding, intermolecular interactions and molecular structures of organic and inorganic compounds including some transition metal complexes. Relevant examples will be drawn from such areas as environmental, materials, and biological chemistry. 3 hrs. lec, 2 hrs. rec."	Charles Henderson	1<>2<>3<>4<>5	900	1020	DH 2302
09218	Organic Chemistry II	9	Chemistry	None	Rong Cao	1<>3<>5	1030	2450	DH 2302
09435	Independent Study Chemistry	None	Chemistry	The course allows students to earn academic credit for concentrated study in a topic area developed in conjunction with and monitored by a faculty member in the Department of Chemistry.  These topics are distinct from projects that would rise to the level of undergraduate research either because they are in unrelated areas distinct from the faculty members research interests or may constitute the investigation and compilation of existing information from a variety of resources and may not be expected to result in the generation of new information as is a reasonable expected outcome in undergraduate research (likely is not publishable).	Karen Stump	NA	NA	NA	NA
09445	Undergraduate Research	None	Chemistry	"Properly qualified students may undertake research projects under the direction of members of the faculty, normally 6 to 12 hrs/week. A written, detailed report describing the project and results is required. Course may be taken only with the consent of a faculty research advisor in chemistry or on occasion in another department provided that the project is chemical in nature and with permission of the Director of Undergraduate Studies. The number of units taken generally corresponds to the actual number of hours the student actually spends in the lab doing research during the week. Maximum number of units taken per semester is 18."	Karen Stump	NA	NA	NA	NA
09861	Chemical Research	None	Chemistry	None	Rebecca Freeland	NA	NA	NA	NA
09871	Doctoral Dissertation	5	Chemistry	None	Rebecca Freeland	NA	NA	NA	NA
09990	TBA	None	Chemistry	None	Rebecca Freeland	NA	NA	NA	NA
12993	Reading and Research in Civil and Environmental Engineering	None	Civil & Environmental Engineering	This reading and research course is designed for CEE research assistants (PhD and MS RAs) to reflect activity related to their research during the Summer semester.	Instructor TBA	NA	NA	NA	NA
12993	Reading and Research in Civil and Environmental Engineering	None	Civil & Environmental Engineering	This reading and research course is designed for CEE research assistants (PhD and MS RAs) to reflect activity related to their research during the Summer semester.	Instructor TBA	NA	NA	NA	NA
15110	Principles of Computing	10	Computer Science	None	Norman Bier	1<>2<>3<>4<>5	900	1020	GHC 4215
