Instructor	Course	Hours per week	Interest in student learning	Explain course requirements	Clear learning goals	Instructor provided feedback to students	Importance of subject	Explains subject matter	Show respect for students	Overall teaching	Overall course	Number of times taught
"Holcomb, D."	0	8.94	4.04	4.07	3.98	3.92	4.05	4.02	4.16	4.09	4.01	210
David Holcomb	0	8.94	4.04	4.07	3.98	3.92	4.05	4.02	4.16	4.09	4.01	210
Riccardo Schulz	0	6.12	4.76	4.55	4.58	4.54	4.71	4.68	4.84	4.66	4.69	151
"Schulz, R."	0	6.12	4.76	4.55	4.58	4.54	4.71	4.68	4.84	4.66	4.69	151
Benjamin Opie	0	5.09	3.81	3.96	3.99	3.78	3.88	4.01	3.76	3.75	3.76	138
Naum Kats	0	7.27	4.78	4.37	4.53	4.38	4.69	4.65	4.78	4.66	4.66	130
Thomas Douglas	0	4.38	4.16	4.03	4.04	3.95	4.2	4.09	3.93	4.07	4.01	124
"Douglas, T."	0	4.38	4.16	4.03	4.04	3.95	4.2	4.09	3.93	4.07	4.01	124
"Sissons, N."	0	8.43	3.83	3.47	3.58	3.67	3.77	3.59	3.87	3.7	3.54	120
Narelle Sissons	0	8.43	3.83	3.47	3.58	3.67	3.77	3.59	3.87	3.7	3.54	120
"Li, H."	0	9.39	4.73	4.61	4.65	4.66	4.73	4.66	4.7	4.65	4.62	117
Hui Li	0	9.39	4.73	4.61	4.65	4.66	4.73	4.66	4.7	4.65	4.62	117
Hanna Li	0	9.46	4.75	4.62	4.67	4.68	4.74	4.68	4.71	4.67	4.64	115
"Block, R."	0	8.13	4.14	3.91	3.92	3.9	4.14	3.97	4.13	4.11	3.95	109
Richard Block	0	8.13	4.14	3.91	3.92	3.9	4.14	3.97	4.13	4.11	3.95	109
"Handel, R."	0	8.99	4.46	4.39	4.36	4.37	4.52	4.39	4.39	4.41	4.41	106
Robert Handel	0	8.99	4.46	4.39	4.36	4.37	4.52	4.39	4.39	4.41	4.41	106
"Pino, J."	0	6.23	4.09	3.82	3.89	3.81	4.07	3.88	4.06	3.99	3.88	101
Joseph Pino	0	6.23	4.09	3.82	3.89	3.81	4.07	3.88	4.06	3.99	3.88	101
Tina Shackleford	0	4.76	3.96	3.64	3.64	3.44	3.75	3.61	3.97	3.65	3.55	98
"Shackleford, T."	0	4.76	3.96	3.64	3.64	3.44	3.75	3.61	3.97	3.65	3.55	98
"Boevers, D."	0	6.59	3.69	3.81	3.83	3.32	4.04	3.89	3.71	3.71	3.74	97
David Boevers	0	6.59	3.69	3.81	3.83	3.32	4.04	3.89	3.71	3.71	3.74	97
Paul Evans	0	8.79	4.76	4.75	4.78	4.78	4.81	4.79	4.7	4.75	4.75	96
"Evans, P."	0	8.79	4.76	4.75	4.78	4.78	4.81	4.79	4.7	4.75	4.75	96
"Harris, J."	0	6.28	4.34	4.05	4.01	4.06	4.29	4.09	4.04	4.1	4.08	95
Jed Harris	0	6.28	4.34	4.05	4.01	4.06	4.29	4.09	4.04	4.1	4.08	95
Manuel Rosso-Llopart	0	11.39	4.36	4.18	4.26	4.26	4.26	4.23	4.52	4.34	4.19	93
"Rosso-Llopart, M."	0	11.39	4.36	4.18	4.26	4.26	4.26	4.23	4.52	4.34	4.19	93
"Limauro, C."	0	5.84	4.22	3.99	4.09	4.14	4.2	3.96	4.51	4.12	4.05	93
Cynthia Limauro	0	5.84	4.22	3.99	4.09	4.14	4.2	3.96	4.51	4.12	4.05	93
Stephen Neely	0	4.8	4.85	4.74	4.75	4.64	4.81	4.82	4.82	4.81	4.76	92
"Neely, S."	0	4.8	4.85	4.74	4.75	4.64	4.81	4.82	4.82	4.81	4.76	92
Robert Heard	0	5.64	4.28	4.12	4.23	3.84	4.34	4.19	4.43	4.19	4.08	90
"Heard, R."	0	5.64	4.28	4.12	4.23	3.84	4.34	4.19	4.43	4.19	4.08	90
"Almarza, A."	0	9.8	4.91	4.81	4.88	4.84	4.91	4.87	4.89	4.87	4.87	89
Alberto Almarza	0	9.8	4.91	4.81	4.88	4.84	4.91	4.87	4.89	4.87	4.87	89
"Thompson, T."	0	7.63	4.43	4.14	4.16	4.25	4.31	4.27	4.51	4.24	4.14	86
Thomas Thompson	0	7.63	4.43	4.14	4.16	4.25	4.31	4.27	4.51	4.24	4.14	86
Carla Larocca	0	3.78	4.85	4.74	4.78	4.84	4.69	4.82	4.89	4.8	4.74	85
"Larocca, C."	0	3.78	4.85	4.74	4.78	4.84	4.69	4.82	4.89	4.8	4.74	85
R. James Whipple	0	5.43	4.54	4.44	4.46	4.43	4.5	4.41	4.59	4.37	4.38	84
