Instructor	Course	Hours per week	Interest in student learning	Explain course requirements	Clear learning goals	Instructor provided feedback to students	Importance of subject	Explains subject matter	Show respect for students	Overall teaching	Overall course	Number of times taught
Phillip Compeau	02-201	12.88	4.62	4.5	4.25	3.88	4.38	4.38	4.75	4.5	4.12	2
"Compeau, P."	02-201	12.88	4.62	4.5	4.25	3.88	4.38	4.38	4.75	4.5	4.12	2
Carleton Kingsford	02-201	13.53	4.38	3.94	4.22	3.62	4.42	3.95	4.53	4.04	3.92	2
"Kingsford, C."	02-201	13.53	4.38	3.94	4.22	3.62	4.42	3.95	4.53	4.04	3.92	2
Se Young Kim	02-223	5.38	3.35	2.87	3.02	2.88	3.47	2.85	4.14	2.67	2.93	3
"Murphy, R."	02-250	8.17	4.34	3.99	3.83	3.68	4.22	4.07	4.37	4.21	3.84	5
Robert Murphy	02-250	8.17	4.34	3.99	3.83	3.68	4.22	4.07	4.37	4.21	3.84	5
Russell Schwartz	02-250	7	3.91	3.91	3.82	3.82	4.33	3.89	4.4	4.02	3.75	5
"Schwartz, R."	02-250	7	3.91	3.91	3.82	3.82	4.33	3.89	4.4	4.02	3.75	5
"Ilyin, V."	02-250	11.54	3.93	3.4	3.27	3.07	3.71	3.07	4.4	3.21	3.21	1
Valentin Ilyin	02-250	11.54	3.93	3.4	3.27	3.07	3.71	3.07	4.4	3.21	3.21	1
Russell Schwartz	02-251	5	5	5	2	2	5	2	5	3	2	1
"Schwartz, R."	02-251	5	5	5	2	2	5	2	5	3	2	1
"Murphy, R."	02-252	5.6	4.07	4	4.07	4.4	4.53	4.2	4.07	4.4	4.33	3
Robert Murphy	02-252	5.6	4.07	4	4.07	4.4	4.53	4.2	4.07	4.4	4.33	3
Karen Thickman	02-261	9.9	4.7	4.59	4.36	4.43	4.4	4.32	4.62	4.6	4.08	4
"Thickman, K."	02-261	9.9	4.7	4.59	4.36	4.43	4.4	4.32	4.62	4.6	4.08	4
Joshua Kangas	02-261	8	5	5	5	5	5	5	5	5	5	1
"Bar-Joseph, Z."	02-317	8	3.5	3.5	4.5	3.5	4.5	4	4	4.5	4.5	2
Ziv Bar-Joseph	02-317	8	3.5	3.5	4.5	3.5	4.5	4	4	4.5	4.5	2
"Langmead, C."	02-421	10	4.33	4	4	4	4.67	3.67	4.67	4	4	1
Christopher Langmead	02-421	10	4.33	4	4	4	4.67	3.67	4.67	4	4	1
"Langmead, C."	02-450	8	4.88	5	5	4.88	4.88	4.88	4.88	4.88	4.88	2
Christopher Langmead	02-450	8	4.88	5	5	4.88	4.88	4.88	4.88	4.88	4.88	2
"Naik, A."	02-450	8	5	5	5	4.5	4.75	4.75	4.5	4.67	4.67	1
Armaghan Naik	02-450	8	5	5	5	4.5	4.75	4.75	4.5	4.67	4.67	1
"Bar-Joseph, Z."	02-510	7.5	3.42	4.08	4.33	3.33	4.67	4.25	4.17	3.75	3.75	2
Ziv Bar-Joseph	02-510	7.5	3.42	4.08	4.33	3.33	4.67	4.25	4.17	3.75	3.75	2
"Ilyin, V."	02-510	9	4	4	4	4	4	3.67	5	4	3.67	1
Valentin Ilyin	02-510	9	4	4	4	4	4	3.67	5	4	3.67	1
Se Young Kim	02-510	12.5	1.5	1.5	2	1	1.5	1.5	2	1.5	1	1
Russell Schwartz	02-512	11	4.5	5	5	4.5	4.5	4.5	5	4.5	5	2
"Schwartz, R."	02-512	11	4.5	5	5	4.5	4.5	4.5	5	4.5	5	2
Carleton Kingsford	02-513	8.5	3.71	4	3.88	3.75	4	3.88	4.29	4.04	3.88	2
"Kingsford, C."	02-513	8.5	3.71	4	3.88	3.75	4	3.88	4.29	4.04	3.88	2
"Langmead, C."	02-518	9.5	5	5	5	5	5	5	5	5	5	1
Christopher Langmead	02-518	9.5	5	5	5	5	5	5	5	5	5	1
Wayne Wu	02-518	9.5	5	5	5	5	5	5	5	5	5	1
"Wu, W."	02-518	9.5	5	5	5	5	5	5	5	5	5	1
"Langmead, C."	02-530	14.25	4.75	4.5	4.75	5	4.75	4.5	4.5	4.75	5	2
