"","term","year","instructor","dept","course.id","course.name","section","type","responses","enrollment","resp.rate","hrs.per.week","interst.in.student.learning","exp.goals","clarity","provide.feedback","importance","exp.subject","respect","overall.teaching","overall.course","id.name","year.term"
"1","","2016","","","","Year of 2016","","","8310","17990","46%","9.78","4.44","4.21","4.24","4.2","4.37","4.29","4.48","4.28","4.21"," - Year of 2016"," "
"2","Summer","2016","JONATHAN KLINE","ARC","48708","SUSTNBLE URBNM STUDO","A","Lect","2","5","40%","20.5","4","4","4","3.5","4.5","4","3.5","3.5","3.5","48708 - SUSTNBLE URBNM STUDO","48708 Summer"
"3","Summer","2016","LOFTNESS, V. (co-taught)","ARC","48732","SUSTAIN DSGN SYNTHES","A","Lect","6","10","60%","27","5","5","4.83","4.83","5","5","5","4.83","4.83","48732 - SUSTAIN DSGN SYNTHES","48732 Summer"
"4","Summer","2016","COCHRAN, E. (co-taught)","ARC","48732","SUSTAIN DSGN SYNTHES","A","Lect","6","10","60%","27","4.5","4.67","4.83","4.67","4.83","4.67","4.67","4.5","4.5","48732 - SUSTAIN DSGN SYNTHES","48732 Summer"
"5","Summer","2016","ABDUL-AZIZ, A. (co-taught)","ARC","48732","SUSTAIN DSGN SYNTHES","A","Lect","6","10","60%","27","4.25","4.25","3.75","3.75","4","4","4","3.75","3.75","48732 - SUSTAIN DSGN SYNTHES","48732 Summer"
"6","Summer","2016","JANET FEINDEL","CFA","62310","ALEXANDER TECHNIQUE","S","Lect","2","3","67%","6.5","5","5","5","5","5","5","5","5","5","62310 - ALEXANDER TECHNIQUE","62310 Summer"
"7","Summer","2016","BEALE, M. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","19.5","4.5","5","4.75","4.5","4.75","4.75","5","4.5","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"8","Summer","2016","VITONE, D. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","15.75","4.75","4.75","4.75","4.75","5","5","5","5","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"9","Summer","2016","ROHRBACH, S. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","16.5","5","5","5","4.75","5","5","5","4.75","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"10","Summer","2016","CHUNG, W. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","14.75","5","5","5","5","5","5","5","5","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"11","Summer","2016","CHARLEE BRODSKY","DES","51397","PHOTO INDEPN STUDY","A","Lect","1","4","25%","5","5","5","5","5","5","5","5","5","5","51397 - PHOTO INDEPN STUDY","51397 Summer"
"12","Summer","2016","MARK DOMENCIC","MUS","57149","BASIC HARMONY I","S","Lect","2","4","50%","9.5","4","4.5","3.5","5","4.5","5","5","4.5","4.5","57149 - BASIC HARMONY I","57149 Summer"
"13","Summer","2016","PAUL JOHNSTON","MUS","57173","SURVEY WEST MUS HIST","S","Lect","1","3","33%","8","5","5","","","","","","","","57173 - SURVEY WEST MUS HIST","57173 Summer"
"14","Summer","2016","SCHULZ, R. (co-taught)","MUS","57341","SOUND RECORDING WRKS","E","Lect","5","9","56%","9.2","5","5","5","5","5","5","5","5","5","57341 - SOUND RECORDING WRKS","57341 Summer"
"15","Summer","2016","SULLIVAN, T. (co-taught)","MUS","57341","SOUND RECORDING WRKS","E","Lect","5","9","56%","9.2","4.6","4.8","4.8","4.6","4.6","4.6","5","4.6","4.8","57341 - SOUND RECORDING WRKS","57341 Summer"
"16","Spring","2016","HEATHER WORKINGER","ARC","48026","FRST YR SEM:ARCH ED","A","Lect","33","58","57%","4","4.48","4.48","4.64","4.18","4.33","4.27","4.84","4.45","4.3","48026 - FRST YR SEM:ARCH ED","48026 Spring"
"17","Spring","2016","KAI GUTSCHOW","ARC","48105","ARC DSGN STU: FDT II","1","Lect","31","58","53%","25.23","3.87","3.68","3.94","3.29","4.06","4.06","4.29","3.74","3.87","48105 - ARC DSGN STU: FDT II","48105 Spring"
"18","Spring","2016","SUHRBIER, K. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","24.24","4.76","4.59","4.59","4.82","4.71","4.71","4.82","4.76","4.71","48105 - ARC DSGN STU: FDT II","48105 Spring"
"19","Spring","2016","GUTSCHOW, K. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","23.88","3.94","4.19","4.25","3.69","4.25","4.25","4.56","4.19","4.44","48105 - ARC DSGN STU: FDT II","48105 Spring"
"20","Spring","2016","RANTTILA, A. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","23.88","4.81","4.63","4.56","4.75","4.56","4.44","4.88","4.69","4.63","48105 - ARC DSGN STU: FDT II","48105 Spring"
"21","Spring","2016","CRAIG, G. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","23.87","4.88","4.81","4.69","4.81","4.81","4.69","4.94","4.88","4.81","48105 - ARC DSGN STU: FDT II","48105 Spring"
"22","Spring","2016","GUTSCHOW, K. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","25.93","4.14","3.57","3.79","3.64","4.36","4.14","4.29","3.86","3.86","48105 - ARC DSGN STU: FDT II","48105 Spring"
"23","Spring","2016","PERRY, T. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","26","4.46","4.23","3.85","4","4.31","4.08","4.69","4.23","3.92","48105 - ARC DSGN STU: FDT II","48105 Spring"
"24","Spring","2016","LIADIS, N. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","26","4","3.54","3.54","3.08","3.46","3.38","3.92","3.23","3.38","48105 - ARC DSGN STU: FDT II","48105 Spring"
"25","Spring","2016","CELENTO, D. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","26.1","4.23","3.46","3.54","3.77","4.15","3.77","3.92","3.77","3.92","48105 - ARC DSGN STU: FDT II","48105 Spring"
"26","Spring","2016","MAN KIM","ARC","48125","DIG MEDIA II","13","Lect","27","58","47%","14.89","4.33","4.22","4.37","4.04","4.67","4.11","4.26","4.11","4.22","48125 - DIG MEDIA II","48125 Spring"
"27","Spring","2016","WILLIAM COOPER","ARC","48126","ANALOG MEDIA II","A4","Lect","35","59","59%","11.09","4.34","4.06","3.97","4.2","4.06","4.14","4.29","4.17","4.17","48126 - ANALOG MEDIA II","48126 Spring"
"28","Spring","2016","RAMESH KRISHNAMURTI","ARC","48175","DESC GEOMETRY","W","Lect","8","13","62%","19.13","4.25","3.88","4","3.63","4.25","3.88","4.63","3.38","3.5","48175 - DESC GEOMETRY","48175 Spring"
"29","Spring","2016","JEREMY FICCA","ARC","48205","ARC DSGN STU: EL II","1","Lect","21","48","44%","24.57","4.76","4.57","4.57","4.76","4.81","4.62","4.76","4.71","4.52","48205 - ARC DSGN STU: EL II","48205 Spring"
"30","Spring","2016","JEFFERY KING","ARC","48205","ARC DSGN STU: EL II","A","Lect","6","12","50%","24.4","4","3","3.5","2.5","3.67","3.17","3.83","2.83","3.83","48205 - ARC DSGN STU: EL II","48205 Spring"
