1	1	Spring	2016	PHILLIP COMPEAU	CB	2201	PRGRMMING SCIENTISTS	1	Lect	4	5	80%	13.25	4.75	4.5	4.25	4.25	4.75	4.5	4.75	4.5	4.5	2016.1	02201 - PRGRMMING SCIENTISTS
2	2	Fall	2016	PHILLIP COMPEAU	CB	2201	PRGRMMING SCIENTISTS	1	Lect	4	4	100%	12.5	4.5	4.5	4.25	3.5	4	4.25	4.75	4.5	3.75	2016.8	02201 - PRGRMMING SCIENTISTS
3	3	Fall	2014	CARLETON KINGSFORD	CB	2201	PRGRMMING SCIENTISTS	A	Lect	12	17	71%	14.25	4.17	3.67	4.25	3.25	4.25	3.5	4.25	3.67	3.25	2014.8	02201 - PRGRMMING SCIENTISTS
4	4	Fall	2015	CARLETON KINGSFORD	CB	2201	PRGRMMING SCIENTISTS	1	Lect	5	9	56%	12.8	4.6	4.2	4.2	4	4.6	4.4	4.8	4.4	4.6	2015.8	02201 - PRGRMMING SCIENTISTS
5	5	Fall	2014	SE YOUNG KIM	CB	2223	PERSND MED OWN GENME	A	Lect	7	11	64%	6.29	3.86	3.14	3.43	2.86	3.71	2.86	4.57	2.86	3	2014.8	02223 - PERSND MED OWN GENME
6	6	Fall	2012	SE YOUNG KIM	CB	2223	HOW ANLYZ OWN GENME	A	Lect	3	7	43%	6	3.33	3	3	3.33	3.33	3	4	3	3.33	2012.8	02223 - HOW ANLYZ OWN GENME
7	7	Fall	2013	SE YOUNG KIM	CB	2223	HOW ANLYZ OWN GENME	A	Lect	13	24	54%	3.85	2.85	2.46	2.62	2.46	3.38	2.69	3.85	2.15	2.46	2013.8	02223 - HOW ANLYZ OWN GENME
8	8	Spring	2016	VALENTIN ILYIN	CB	2250	INTRO TO COMP BIO	W	Lect	17	23	65%	11.12	3.94	3.41	3.24	3.12	3.86	3.18	4.47	3.36	3.24	2016.1	02250 - INTRO TO COMP BIO
9	9	Spring	2013	SCHWARTZ	CB	2250	INTRO COMPTNL BIOLGY	1	Lect	18	16	56%	9.16	3.72	3.5	3.38	3.17	3.72	3.39	4	3.5	3.17	2013.1	02250 - INTRO COMPTNL BIOLGY
10	10	Spring	2012	SCHWARTZ	CB	2250	INTRO COMPTNL BIOLGY	1	Lect	4	3	67%	7.25	4.25	4.25	4.25	4.25	4	4	4.25	4.25	4	2012.1	02250 - INTRO COMPTNL BIOLGY
11	11	Spring	2014	SCHWARTZ	CB	2250	INTRO TO COMP BIO	1	Lect	6	11	27%	6.5	4.33	4.33	4.17	3.83	4.17	4.33	4.5	4.17	4.17	2014.1	02250 - INTRO TO COMP BIO
12	12	Spring	2015	SCHWARTZ	CB	2250	INTRO TO COMP BIO	1	Lect	6	6	50%	7	4.33	4.17	4.33	4	4.5	4.17	4.17	4.17	4.17	2015.1	02250 - INTRO TO COMP BIO
