Instructor	Course	Hours per week	Interest in student learning	Explain course requirements	Clear learning goals	Instructor provided feedback to students	Importance of subject	Explains subject matter	Show respect for students	Overall teaching	Overall course	Number of times taught
Can Kultur	15-110	17.35	4.6	3.78	4.07	4.2	4.5	4.0	4.75	4.15	4.05	2
Can Kultur	0	17.35	4.6	3.78	4.07	4.2	4.5	4.0	4.75	4.15	4.05	2
Victor Adamchik	15-112	19.59	4.11	4.2	4.21	3.7	4.28	4.22	4.38	3.99	4.12	2
Victor Adamchik	15-122	20.67	3.87	3.73	3.96	3.27	4.25	3.89	3.84	3.71	3.7	9
Victor Adamchik	15-355	9.0	4.38	4.26	4.29	3.71	4.56	4.24	4.19	4.1	4.19	7
Victor Adamchik	15-121	NA	4.46	4.54	4.63	4.37	4.63	4.63	4.54	4.43	4.54	3
Victor Adamchik	15-211	NA	3.93	3.99	4.03	3.74	4.22	4.24	4.45	4.09	4.18	5
Victor Adamchik	15-111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
Victor Adamchik	21-127	9.43	4.08	3.86	3.84	3.57	4.13	3.71	4.17	3.7	3.89	1
Victor Adamchik	15-451	11.17	3.48	3.32	3.46	3.0	3.46	3.35	3.67	3.22	3.29	4
Victor Adamchik	15-651	15.67	3.96	3.67	3.79	3.42	4.0	3.62	4.12	3.67	4.0	2
Victor Adamchik	15-251	17.12	3.76	3.69	3.68	3.13	3.81	3.59	3.96	3.55	3.62	4
Victor Adamchik	15-359	NA	4.08	3.46	3.25	3.17	4.08	3.42	4.08	3.23	3.92	1
Victor Adamchik	15-659	NA	3.5	3.5	3.5	2.75	3.0	3.25	3.75	3.25	3.0	1
Victor Adamchik	15-397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
Victor Adamchik	0	15.88	3.93	3.83	3.92	3.41	4.1	3.87	4.04	3.74	3.83	50
Mark Stehlik	15-112	18.76	4.64	4.63	4.62	4.53	4.7	4.66	4.73	4.65	4.71	2
Mark Stehlik	15-110	NA	4.61	4.64	4.53	4.22	4.45	4.5	4.62	4.58	4.28	2
Mark Stehlik	15-121	16.19	4.93	4.78	4.77	4.61	4.77	4.83	4.88	4.83	4.81	4
Mark Stehlik	15-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Mark Stehlik	15-221	5.67	4.78	4.78	4.78	4.89	4.89	4.89	5.0	4.78	4.67	1
Mark Stehlik	0	14.84	4.78	4.72	4.68	4.53	4.69	4.72	4.8	4.73	4.65	11
Houda Bouamor	15-112	13.5	4.43	4.55	4.45	4.16	4.43	4.43	4.55	4.29	4.41	2
Houda Bouamor	15-121	13.09	4.54	4.25	4.37	4.21	4.44	4.36	4.5	4.43	3.79	1
Houda Bouamor	0	13.36	4.47	4.45	4.42	4.18	4.43	4.41	4.53	4.33	4.2	3
Robert Simmons	15-122	15.87	4.51	4.46	4.47	4.15	4.44	4.43	4.67	4.4	4.33	7
Robert Simmons	15-411	20.42	4.94	4.74	4.89	4.57	4.74	4.77	4.97	4.83	4.71	1
Robert Simmons	15-611	23.55	4.64	4.73	4.73	4.64	4.36	4.36	4.73	4.45	4.45	1
Robert Simmons	15-312	NA	4.77	4.5	4.2	4.3	4.3	4.53	4.83	4.57	4.17	1
Robert Simmons	16-467	9.36	4.22	4.11	4.12	4.31	4.51	4.23	4.48	4.07	4.42	3
Robert Simmons	16-371	11.0	5.0	4.5	3.5	4.5	3.5	4.5	5.0	4.5	3.5	1
Robert Simmons	15-887	10.88	4.26	4.13	4.25	3.94	4.2	4.2	4.42	4.07	3.96	4
Robert Simmons	54-371	13.33	4.0	3.67	4.0	4.0	3.67	3.67	5.0	3.67	3.33	1
Robert Simmons	0	15.13	4.46	4.34	4.32	4.21	4.32	4.34	4.66	4.29	4.2	19
Nathaniel Filardo	15-213	13.36	5.0	5.0	4.93	3.79	4.43	4.93	5.0	5.0	4.86	2
Nathaniel Filardo	18-213	27.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	1
Nathaniel Filardo	15-513	17.42	4.68	4.59	4.66	4.51	4.65	4.7	4.74	4.63	4.8	1
Nathaniel Filardo	0	17.78	4.92	4.9	4.88	3.77	4.63	4.89	4.94	4.91	4.88	4
Filardo, N.	15-213	13.36	5.0	5.0	4.93	3.79	4.43	4.93	5.0	5.0	4.86	2
Filardo, N.	18-213	27.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	1
Filardo, N.	15-513	17.42	4.68	4.59	4.66	4.51	4.65	4.7	4.74	4.63	4.8	1
Filardo, N.	0	17.78	4.92	4.9	4.88	3.77	4.63	4.89	4.94	4.91	4.88	4
Thomas Keating	15-221	5.78	4.49	4.31	4.42	4.39	4.31	4.32	4.48	4.32	3.91	24
Thomas Keating	17-657	2.83	4.58	4.26	4.3	4.52	4.33	4.34	4.79	4.48	4.16	10
Thomas Keating	17-656	4.18	4.64	4.48	4.56	4.72	4.6	4.53	4.8	4.75	4.59	11
Thomas Keating	0	4.75	4.54	4.33	4.43	4.49	4.37	4.37	4.61	4.44	4.11	45
Kesden, G.	15-213	13.36	4.43	4.44	4.47	4.0	4.53	4.38	4.06	4.33	4.43	18
Kesden, G.	15-498	3.36	4.7	3.75	4.09	3.74	4.83	4.61	4.37	4.57	4.34	4
Kesden, G.	15-513	17.16	4.54	4.54	4.61	4.21	4.58	4.54	4.46	4.5	4.61	5
Kesden, G.	15-112	NA	3.84	3.6	3.57	3.46	3.71	3.63	3.64	3.49	3.71	8
Kesden, G.	15-440	11.79	4.34	3.5	4.16	3.59	4.4	4.17	3.95	4.05	3.88	11
Kesden, G.	15-640	13.38	4.03	3.74	3.72	3.83	3.91	3.67	3.85	3.72	3.84	3
Kesden, G.	15-110	NA	3.8	3.72	3.85	3.59	3.94	3.57	3.87	3.82	3.88	4
Kesden, G.	15-415	NA	4.25	3.56	3.75	3.81	4.15	4.0	4.06	3.75	3.81	2
Kesden, G.	15-211	NA	3.21	2.33	3.29	2.76	2.79	2.91	3.35	3.15	2.91	5
Kesden, G.	15-123	NA	4.22	3.87	3.93	3.79	4.39	4.02	3.56	4.08	4.04	12
Kesden, G.	15-111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Kesden, G.	15-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Kesden, G.	15-446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Kesden, G.	15-310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Kesden, G.	18-213	12.94	4.43	4.41	4.43	4.12	4.51	4.39	4.14	4.36	4.53	11
Kesden, G.	18-243	NA	4.24	4.16	4.19	3.99	4.41	4.32	3.82	4.16	4.39	4
Kesden, G.	15-441	NA	3.75	3.25	3.25	2.25	3.25	3.0	3.25	2.75	2.75	1
Kesden, G.	15-641	NA	3.47	3.2	3.27	3.07	3.33	3.2	3.33	3.13	3.33	1
Kesden, G.	15-295	NA	4.0	3.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	4
Kesden, G.	0	12.83	4.25	3.97	4.13	3.78	4.27	4.12	3.99	4.08	4.13	99
Berntsen, K.	05-650	10.11	4.36	3.52	3.54	3.74	3.8	3.46	4.14	3.35	2.98	4
Berntsen, K.	05-651	12.93	4.46	3.91	4.02	4.28	4.37	4.09	4.29	4.07	4.18	6
Berntsen, K.	05-672	25.58	3.65	2.75	2.91	3.26	3.27	3.09	3.26	3.13	3.3	1
Berntsen, K.	05-671	20.11	4.11	3.36	3.5	4.21	3.93	3.71	3.79	3.71	3.64	1
Berntsen, K.	05-392	8.84	4.25	3.51	3.83	3.88	4.14	4.04	4.1	3.97	3.83	2
Berntsen, K.	0	13.53	4.32	3.62	3.74	3.99	4.06	3.81	4.11	3.76	3.68	14
Hong, J.	05-499	9.0	5.0	5.0	5.0	4.33	5.0	4.67	5.0	5.0	4.67	1
Hong, J.	05-899	11.8	4.8	4.6	4.6	4.0	5.0	4.8	5.0	5.0	5.0	1
Hong, J.	05-898	NA	4.4	4.0	4.4	3.4	4.6	3.8	4.8	4.4	4.8	1
Hong, J.	05-320	NA	3.86	3.58	4.03	3.33	4.14	4.06	4.31	3.92	3.83	5
Hong, J.	05-820	NA	4.25	3.92	4.04	3.94	4.26	4.44	4.59	4.34	3.99	5
Hong, J.	05-391	NA	4.28	3.92	4.18	4.05	4.53	4.28	4.57	4.09	4.04	3
Hong, J.	05-891	NA	4.25	4.25	4.75	4.5	4.5	4.5	4.75	4.5	4.5	2
Hong, J.	05-430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Hong, J.	05-630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Hong, J.	05-672	25.86	4.3	3.96	4.16	4.25	4.24	4.05	4.3	4.23	4.17	4
Hong, J.	05-671	20.34	4.39	4.1	4.27	4.46	4.44	4.32	4.49	4.37	4.26	3
Hong, J.	0	16.75	4.3	4.03	4.28	4.05	4.41	4.28	4.54	4.32	4.22	27
Ballay, L.	05-672	24.73	3.57	2.77	3.05	3.14	3.14	3.05	3.32	3.09	3.36	1
Ballay, L.	05-671	20.22	4.11	3.68	3.68	3.96	4.07	3.89	4.14	3.89	3.75	1
Ballay, L.	0	22.48	3.84	3.23	3.37	3.55	3.61	3.47	3.73	3.49	3.55	2
Koedinger, K.	05-823	11.13	4.33	4.19	4.28	4.17	4.25	4.25	4.51	3.96	4.09	2
Koedinger, K.	05-681	19.91	4.21	4.34	4.17	4.17	4.07	3.82	4.54	4.26	4.12	2
Koedinger, K.	05-748	NA	4.27	3.27	3.45	3.36	3.91	3.64	4.45	3.73	3.45	1
Koedinger, K.	05-899	NA	4.63	4.38	4.5	4.25	4.75	4.5	4.75	4.25	4.25	1
Koedinger, K.	85-748	NA	4.5	3.5	4.25	3.75	4.5	4.75	5.0	4.25	3.75	2
Koedinger, K.	05-682	24.83	4.62	4.42	4.42	4.75	4.58	4.33	4.75	4.38	4.75	2
Koedinger, K.	0	16.75	4.42	4.12	4.21	4.17	4.33	4.19	4.64	4.16	4.15	10
Stamper, J.	05-840	5.0	3.33	2.83	2.83	2.83	2.33	2.33	3.83	2.83	2.5	1
Stamper, J.	05-682	24.83	3.96	4.17	4.12	3.79	4.12	4.0	4.38	3.79	4.42	2
Stamper, J.	05-681	19.5	3.55	3.82	3.55	3.55	3.82	3.45	4.27	3.45	3.55	1
Stamper, J.	0	16.44	3.7	3.75	3.66	3.49	3.6	3.44	4.21	3.47	3.72	4
Jodi Forlizzi	05-897	4.5	4.55	4.42	4.6	4.56	4.6	4.37	4.76	4.53	4.32	3
Jodi Forlizzi	05-898	8.6	4.5	3.67	4.03	4.13	4.47	4.37	4.87	4.33	4.07	1
Jodi Forlizzi	05-774	NA	4.62	3.81	3.92	4.13	4.27	4.35	4.77	4.5	4.05	3
Jodi Forlizzi	05-651	NA	5.0	4.75	4.75	5.0	4.92	4.75	5.0	5.0	4.83	1
Jodi Forlizzi	51-385	9.71	4.41	4.19	4.18	4.36	4.41	4.21	4.55	4.28	4.48	3
