day,PH,temp,density,density_delta,size,size_delta
1,8.4,8,7.42469,0,362.346,0
8,8.4,8,5.72877,-1.69592,559.928,197.582
15,8.4,8,6.9309,1.20213,750.266,190.338
22,8.4,8,6.81655,-0.11435,784.913,34.647
29,8.4,8,5.65455,-1.162,766.189,-18.724
1,8.4,10,8.18956,0,424.833,0
8,8.4,10,6.55567,-1.63389,722.16,297.327
15,8.4,10,5.49245,-1.06322,678.343,-43.817
22,8.4,10,5.92995,0.4375,725.535,47.192
29,8.4,10,5.9293,-0.00065,944.055,218.52
1,8.4,12,7.86507,0,435.444,0
8,8.4,12,5.66843,-2.19664,621.337,185.893
15,8.4,12,5.49803,-0.1704,717.784,96.447
22,8.4,12,5.02829,-0.46974,803.318,85.534
29,8.4,12,5.43332,0.40503,905.252,101.934
1,8.4,14,8.02731,0,436.623,0
8,8.4,14,6.59877,-1.42854,750.301,313.678
15,8.4,14,5.49852,-1.10025,1018.28,267.979
22,8.4,14,5.64925,0.15073,835.391,-182.889
29,8.4,14,5.27429,-0.37496,873.569,38.178
1,8.1,8,7.74918,0,351.735,0
8,8.1,8,6.90102,-0.84816,713.342,361.607
15,8.1,8,7.17618,0.27516,735.057,21.715
22,8.1,8,5.35586,-1.82032,708.581,-26.476
29,8.1,8,5.20907,-0.14679,874.84,166.259
1,8.1,10,7.40151,0,388.284,0
8,8.1,10,6.76881,-0.6327,641.996,253.712
15,8.1,10,6.71366,-0.05515,889.503,247.507
22,8.1,10,6.59598,-0.11768,931.53,42.027
29,8.1,10,6.52507,-0.07091,988.226,56.696
1,8.1,12,8.69948,0,387.105,0
8,8.1,12,5.64962,-3.04986,732.784,345.679
15,8.1,12,5.02577,-0.62385,802.425,69.641
22,8.1,12,5.26191,0.23614,888.91,86.485
29,8.1,12,5.67492,0.41301,1068.14,179.23
1,8.1,14,8.8849,0,390.642,0
8,8.1,14,5.65436,-3.23054,703.602,312.96
15,8.1,14,5.64833,-0.00603,959.227,255.625
22,8.1,14,5.20905,-0.43928,878.851,-80.376
29,8.1,14,5.0033,-0.20575,894.925,16.074
1,7.8,8,6.68299,0,417.759,0
8,7.8,8,6.88115,0.19816,691.98,274.221
15,7.8,8,6.87429,-0.00686,643.809,-48.171
22,7.8,8,6.01317,-0.86112,743.277,99.468
29,7.8,8,6.24257,0.2294,751.702,8.425
1,7.8,10,7.03066,0,444.876,0
8,7.8,10,5.6256,-1.40506,755.048,310.172
15,7.8,10,5.87522,0.24962,801.326,46.278
22,7.8,10,5.57941,-0.29581,735.462,-65.864
29,7.8,10,5.81015,0.23074,821.934,86.472
1,7.8,12,8.32863,0,395.358,0
8,7.8,12,7.02284,-1.30579,837.676,442.318
15,7.8,12,5.9528,-1.07004,889.555,51.879
22,7.8,12,5.3954,-0.5574,803.318,-86.237
29,7.8,12,5.80377,0.40837,989.505,186.187
1,7.8,14,8.23592,0,385.926,0
8,7.8,14,5.36377,-2.87215,846.034,460.108
15,7.8,14,5.54846,0.18469,765.95,-80.084
22,7.8,14,5.93224,0.38378,962.873,196.923
29,7.8,14,4.49143,-1.44081,1010.86,47.987
1,7.3,8,7.03066,0,408.327,0
8,7.3,8,7.0532,0.02254,545.305,136.978
15,7.3,8,5.04611,-2.00709,690.414,145.109
22,7.3,8,6.22853,1.18242,586.573,-103.841
29,7.3,8,5.38186,-0.84667,713.94,127.367
1,7.3,10,8.62994,0,375.315,0
8,7.3,10,5.84489,-2.78505,584.864,209.549
15,7.3,10,6.03316,0.18827,572.187,-12.677
22,7.3,10,4.95163,-1.08153,799.286,227.099
29,7.3,10,4.28552,-0.66611,823.918,24.632
1,7.3,12,6.59028,0,444.876,0
8,7.3,12,5.0397,-1.55058,571.27,126.394
15,7.3,12,4.31129,-0.72841,763.722,192.452
22,7.3,12,4.9504,0.63911,648.489,-115.233
29,7.3,12,4.66506,-0.28534,789.404,140.915
1,7.3,14,7.12337,0,354.093,0
